table,key,field,expected,tolerance
Table 1,61835,fork_length_mm,139,0
Table 1,61835,weight_g,21,0.500000000001
Table 1,61835,RP1,0,0
Table 1,61835,all_MM,10,0
Table 1,61835,Rx1,4,0
Table 1,61835,R1a,0,0
Table 1,61835,R1b,7,0
Table 1,61835,R2a,0,0
Table 1,61835,Rx2b,0,0
Table 1,61835,Rx2a,3,0
Table 1,61835,R2b,0,0
Table 1,61835,R3a,3,0
Table 1,61835,R3b,0,0
Table 1,61835,HoT,18,0
Table 1,61835,Inner_Bay,9,0
Table 1,61835,Outer_Bay,143,0
Table 1,61835,all_SoBI,2,0
Table 1,61835,total_detections,199,0
Table 1,61835,release_Rx1_days,1.35,0.005000000001
Table 1,61835,release_HoT_days,3.98,0.005000000001
Table 1,61835,HoT_inner_days,1.15,0.005000000001
Table 1,61835,HoT_outer_days,3.62,0.005000000001
Table 1,61835,HoT_SoBI_days,37.05,0.005000000001
Table 1,61836,fish_id,61836,0
Table 1,61836,fork_length_mm,163,0
Table 1,61836,weight_g,42.5,0.050000000001
Table 1,61836,RP1,1,0
Table 1,61836,all_MM,3,0
Table 1,61836,Rx1,0,0
Table 1,61836,R1a,0,0
Table 1,61836,R1b,0,0
Table 1,61836,R2a,0,0
Table 1,61836,Rx2b,0,0
Table 1,61836,Rx2a,0,0
Table 1,61836,R2b,0,0
Table 1,61836,R3a,1,0
Table 1,61836,R3b,0,0
Table 1,61836,HoT,69,0
Table 1,61836,Inner_Bay,0,0
Table 1,61836,Outer_Bay,20,0
Table 1,61836,all_SoBI,12,0
Table 1,61836,total_detections,106,0
Table 1,61836,release_Rx1_days,NA,0.500000000001
Table 1,61836,release_HoT_days,5.32,0.005000000001
Table 1,61836,HoT_inner_days,NA,0.500000000001
Table 1,61836,HoT_outer_days,4.74,0.005000000001
Table 1,61836,HoT_SoBI_days,31.57,0.005000000001
Table 1,61837,fish_id,61837,0
Table 1,61837,fork_length_mm,132,0
Table 1,61837,weight_g,20.8,0.050000000001
Table 1,61837,RP1,1,0
Table 1,61837,all_MM,6,0
Table 1,61837,Rx1,1,0
Table 1,61837,R1a,0,0
Table 1,61837,R1b,3,0
Table 1,61837,R2a,0,0
Table 1,61837,Rx2b,4,0
Table 1,61837,Rx2a,0,0
Table 1,61837,R2b,1,0
Table 1,61837,R3a,0,0
Table 1,61837,R3b,2,0
Table 1,61837,HoT,13,0
Table 1,61837,Inner_Bay,9,0
Table 1,61837,Outer_Bay,8,0
Table 1,61837,all_SoBI,2,0
Table 1,61837,total_detections,50,0
Table 1,61837,release_Rx1_days,2.26,0.005000000001
Table 1,61837,release_HoT_days,3.94,0.005000000001
Table 1,61837,HoT_inner_days,0.66,0.005000000001
Table 1,61837,HoT_outer_days,3.66,0.005000000001
Table 1,61837,HoT_SoBI_days,37.08,0.005000000001
Table 1,61838,fish_id,61838,0
Table 1,61838,fork_length_mm,148,0
Table 1,61838,weight_g,28.9,0.050000000001
Table 1,61838,RP1,1,0
Table 1,61838,all_MM,7,0
Table 1,61838,Rx1,1,0
Table 1,61838,R1a,0,0
Table 1,61838,R1b,8,0
Table 1,61838,R2a,0,0
Table 1,61838,Rx2b,9,0
Table 1,61838,Rx2a,0,0
Table 1,61838,R2b,0,0
Table 1,61838,R3a,0,0
Table 1,61838,R3b,28,0
Table 1,61838,HoT,44,0
Table 1,61838,Inner_Bay,0,0
Table 1,61838,Outer_Bay,8,0
Table 1,61838,all_SoBI,0,0
Table 1,61838,total_detections,106,0
Table 1,61838,release_Rx1_days,2.26,0.005000000001
Table 1,61838,release_HoT_days,4.41,0.005000000001
Table 1,61838,HoT_inner_days,NA,0.500000000001
Table 1,61838,HoT_outer_days,4.66,0.005000000001
Table 1,61838,HoT_SoBI_days,NA,0.500000000001
Table 1,61839,fish_id,61839,0
Table 1,61839,fork_length_mm,147,0
Table 1,61839,weight_g,26.1,0.050000000001
Table 1,61839,RP1,0,0
Table 1,61839,all_MM,0,0
Table 1,61839,Rx1,0,0
Table 1,61839,R1a,4,0
Table 1,61839,R1b,0,0
Table 1,61839,R2a,0,0
Table 1,61839,Rx2b,0,0
Table 1,61839,Rx2a,0,0
Table 1,61839,R2b,0,0
Table 1,61839,R3a,1,0
Table 1,61839,R3b,0,0
Table 1,61839,HoT,584,0
Table 1,61839,Inner_Bay,5,0
Table 1,61839,Outer_Bay,14,0
Table 1,61839,all_SoBI,2,0
Table 1,61839,total_detections,610,0
Table 1,61839,release_Rx1_days,NA,0.500000000001
Table 1,61839,release_HoT_days,7.25,0.005000000001
Table 1,61839,HoT_inner_days,0.6,0.005000000001
Table 1,61839,HoT_outer_days,4.3,0.005000000001
Table 1,61839,HoT_SoBI_days,30.42,0.005000000001
Table 1,61840,fish_id,61840,0
Table 1,61840,fork_length_mm,142,0
Table 1,61840,weight_g,25.8,0.050000000001
Table 1,61840,RP1,0,0
Table 1,61840,all_MM,5,0
Table 1,61840,Rx1,1,0
Table 1,61840,R1a,0,0
Table 1,61840,R1b,0,0
Table 1,61840,R2a,0,0
Table 1,61840,Rx2b,0,0
Table 1,61840,Rx2a,0,0
Table 1,61840,R2b,0,0
Table 1,61840,R3a,0,0
Table 1,61840,R3b,0,0
Table 1,61840,HoT,16,0
Table 1,61840,Inner_Bay,36,0
Table 1,61840,Outer_Bay,0,0
Table 1,61840,all_SoBI,0,0
Table 1,61840,total_detections,58,0
Table 1,61840,release_Rx1_days,3.73,0.005000000001
Table 1,61840,release_HoT_days,3.97,0.005000000001
Table 1,61840,HoT_inner_days,0.69,0.005000000001
Table 1,61840,HoT_outer_days,NA,0.500000000001
Table 1,61840,HoT_SoBI_days,NA,0.500000000001
Table 1,61841,fish_id,61841,0
Table 1,61841,fork_length_mm,130,0
Table 1,61841,weight_g,19.9,0.050000000001
Table 1,61841,RP1,1,0
Table 1,61841,all_MM,4,0
Table 1,61841,Rx1,1,0
Table 1,61841,R1a,0,0
Table 1,61841,R1b,1,0
Table 1,61841,R2a,0,0
Table 1,61841,Rx2b,2,0
Table 1,61841,Rx2a,0,0
Table 1,61841,R2b,1,0
Table 1,61841,R3a,0,0
Table 1,61841,R3b,2,0
Table 1,61841,HoT,445,0
Table 1,61841,Inner_Bay,29,0
Table 1,61841,Outer_Bay,15,0
Table 1,61841,all_SoBI,16,0
Table 1,61841,total_detections,517,0
Table 1,61841,release_Rx1_days,2.26,0.005000000001
Table 1,61841,release_HoT_days,5.32,0.005000000001
Table 1,61841,HoT_inner_days,2.51,0.005000000001
Table 1,61841,HoT_outer_days,4.71,0.005000000001
Table 1,61841,HoT_SoBI_days,30.6,0.005000000001
Table 1,61842,fish_id,61842,0
Table 1,61842,fork_length_mm,149,0
Table 1,61842,weight_g,26.7,0.050000000001
Table 1,61842,RP1,0,0
Table 1,61842,all_MM,0,0
Table 1,61842,Rx1,0,0
Table 1,61842,R1a,0,0
Table 1,61842,R1b,0,0
Table 1,61842,R2a,0,0
Table 1,61842,Rx2b,0,0
Table 1,61842,Rx2a,0,0
Table 1,61842,R2b,0,0
Table 1,61842,R3a,1,0
Table 1,61842,R3b,0,0
Table 1,61842,HoT,90,0
Table 1,61842,Inner_Bay,1,0
Table 1,61842,Outer_Bay,71,0
Table 1,61842,all_SoBI,4,0
Table 1,61842,total_detections,167,0
Table 1,61842,release_Rx1_days,NA,0.500000000001
Table 1,61842,release_HoT_days,7.25,0.005000000001
Table 1,61842,HoT_inner_days,1.18,0.005000000001
Table 1,61842,HoT_outer_days,6.1,0.005000000001
Table 1,61842,HoT_SoBI_days,30.34,0.005000000001
Table 1,61843,fish_id,61843,0
Table 1,61843,fork_length_mm,157,0
Table 1,61843,weight_g,34.7,0.050000000001
Table 1,61843,RP1,0,0
Table 1,61843,all_MM,0,0
Table 1,61843,Rx1,0,0
Table 1,61843,R1a,0,0
Table 1,61843,R1b,0,0
Table 1,61843,R2a,0,0
Table 1,61843,Rx2b,0,0
Table 1,61843,Rx2a,1,0
Table 1,61843,R2b,0,0
Table 1,61843,R3a,0,0
Table 1,61843,R3b,0,0
Table 1,61843,HoT,16,0
Table 1,61843,Inner_Bay,5,0
Table 1,61843,Outer_Bay,35,0
Table 1,61843,all_SoBI,7,0
Table 1,61843,total_detections,64,0
Table 1,61843,release_Rx1_days,NA,0.500000000001
Table 1,61843,release_HoT_days,9.55,0.005000000001
Table 1,61843,HoT_inner_days,0.62,0.005000000001
Table 1,61843,HoT_outer_days,4.07,0.005000000001
Table 1,61843,HoT_SoBI_days,31.35,0.005000000001
Table 1,61844,fish_id,61844,0
Table 1,61844,fork_length_mm,134,0
Table 1,61844,weight_g,19,0.500000000001
Table 1,61844,RP1,1,0
Table 1,61844,all_MM,14,0
Table 1,61844,Rx1,3,0
Table 1,61844,R1a,0,0
Table 1,61844,R1b,0,0
Table 1,61844,R2a,0,0
Table 1,61844,Rx2b,0,0
Table 1,61844,Rx2a,0,0
Table 1,61844,R2b,0,0
Table 1,61844,R3a,1,0
Table 1,61844,R3b,0,0
Table 1,61844,HoT,19,0
Table 1,61844,Inner_Bay,9,0
Table 1,61844,Outer_Bay,13,0
Table 1,61844,all_SoBI,0,0
Table 1,61844,total_detections,60,0
Table 1,61844,release_Rx1_days,2.42,0.005000000001
Table 1,61844,release_HoT_days,7.07,0.005000000001
Table 1,61844,HoT_inner_days,1.8,0.005000000001
Table 1,61844,HoT_outer_days,10.15,0.005000000001
Table 1,61844,HoT_SoBI_days,NA,0.500000000001
Table 1,61845,fish_id,61845,0
Table 1,61845,fork_length_mm,145,0
Table 1,61845,weight_g,27.5,0.050000000001
Table 1,61845,RP1,1,0
Table 1,61845,all_MM,9,0
Table 1,61845,Rx1,4,0
Table 1,61845,R1a,0,0
Table 1,61845,R1b,8,0
Table 1,61845,R2a,0,0
Table 1,61845,Rx2b,127,0
Table 1,61845,Rx2a,0,0
Table 1,61845,R2b,0,0
Table 1,61845,R3a,0,0
Table 1,61845,R3b,2,0
Table 1,61845,HoT,23,0
Table 1,61845,Inner_Bay,113,0
Table 1,61845,Outer_Bay,14,0
Table 1,61845,all_SoBI,6,0
Table 1,61845,total_detections,307,0
Table 1,61845,release_Rx1_days,1.38,0.005000000001
Table 1,61845,release_HoT_days,2.55,0.005000000001
Table 1,61845,HoT_inner_days,1.21,0.005000000001
Table 1,61845,HoT_outer_days,3.26,0.005000000001
Table 1,61845,HoT_SoBI_days,39.25,0.005000000001
Table 1,61846,fish_id,61846,0
Table 1,61846,fork_length_mm,159,0
Table 1,61846,weight_g,35.7,0.050000000001
Table 1,61846,RP1,0,0
Table 1,61846,all_MM,2,0
Table 1,61846,Rx1,1,0
Table 1,61846,R1a,0,0
Table 1,61846,R1b,1,0
Table 1,61846,R2a,0,0
Table 1,61846,Rx2b,4,0
Table 1,61846,Rx2a,0,0
Table 1,61846,R2b,1,0
Table 1,61846,R3a,0,0
Table 1,61846,R3b,0,0
Table 1,61846,HoT,639,0
Table 1,61846,Inner_Bay,2,0
Table 1,61846,Outer_Bay,1,0
Table 1,61846,all_SoBI,7,0
Table 1,61846,total_detections,658,0
Table 1,61846,release_Rx1_days,3.64,0.005000000001
Table 1,61846,release_HoT_days,4.37,0.005000000001
Table 1,61846,HoT_inner_days,1.48,0.005000000001
Table 1,61846,HoT_outer_days,3.36,0.005000000001
Table 1,61846,HoT_SoBI_days,31.49,0.005000000001
Table 1,61847,fish_id,61847,0
Table 1,61847,fork_length_mm,143,0
Table 1,61847,weight_g,26,0.500000000001
Table 1,61847,RP1,1,0
Table 1,61847,all_MM,2,0
Table 1,61847,Rx1,0,0
Table 1,61847,R1a,0,0
Table 1,61847,R1b,2,0
Table 1,61847,R2a,0,0
Table 1,61847,Rx2b,3,0
Table 1,61847,Rx2a,0,0
Table 1,61847,R2b,1,0
Table 1,61847,R3a,0,0
Table 1,61847,R3b,0,0
Table 1,61847,HoT,611,0
Table 1,61847,Inner_Bay,0,0
Table 1,61847,Outer_Bay,154,0
Table 1,61847,all_SoBI,1,0
Table 1,61847,total_detections,775,0
Table 1,61847,release_Rx1_days,NA,0.500000000001
Table 1,61847,release_HoT_days,4.29,0.005000000001
Table 1,61847,HoT_inner_days,NA,0.500000000001
Table 1,61847,HoT_outer_days,3.85,0.005000000001
Table 1,61847,HoT_SoBI_days,36.5,0.005000000001
Table 1,61848,fish_id,61848,0
Table 1,61848,fork_length_mm,140,0
Table 1,61848,weight_g,26.9,0.050000000001
Table 1,61848,RP1,0,0
Table 1,61848,all_MM,6,0
Table 1,61848,Rx1,0,0
