"Z1_a","Z1_b","Z2_a","Z2_ab","Z2_b","Z3_a","Z3_ab_dodge","Z3_ab_no_dodge","Z3_b","Z4_a","Z4_ab","Z4_b","Z5_a","Z5_b"
0.918235294117647,0.0817647058823529,0,1,0,0,0,1,0,0,1,0,0.602254901960784,0.397745098039216
0,1,0,1,0,0,0,1,0,0,1,0,0.606960784313725,0.393039215686275
0,1,0,0,1,0,0,0,1,0,0.0875490196078431,0.912450980392157,0,1
0.972843137254902,0.027156862745098,0.512450980392157,0.486960784313725,0.000588235294117647,0.512450980392157,0.323529411764706,0.16343137254902,0.000588235294117647,0.835980392156863,0.164019607843137,0,1,0
0.966470588235294,0.0335294117647059,0.510098039215686,0.488333333333333,0.00156862745098039,0.510098039215686,0.324803921568627,0.163529411764706,0.00156862745098039,0.834901960784314,0.165098039215686,0,1,0
0,1,0,0,1,0,0,0,1,0,0,1,0,1
0.953137254901961,0.0468627450980392,0.481960784313725,0.503235294117647,0.0148039215686275,0.481960784313725,0.303529411764706,0.199705882352941,0.0148039215686275,0.785490196078431,0.200882352941176,0.0136274509803922,0.774901960784314,0.225098039215686
0.958039215686274,0.0419607843137255,0.483627450980392,0.503529411764706,0.012843137254902,0.483627450980392,0.297156862745098,0.206372549019608,0.012843137254902,0.78078431372549,0.207647058823529,0.0115686274509804,0.772549019607843,0.227450980392157
0.948235294117647,0.0517647058823529,0.476372549019608,0.506960784313725,0.0166666666666667,0.476372549019608,0.306372549019608,0.200588235294118,0.0166666666666667,0.782745098039216,0.202745098039216,0.0145098039215686,0.767941176470588,0.232058823529412
0,1,0,0,1,0,0,0,1,0,0.170392156862745,0.829607843137255,0.0946078431372549,0.905392156862745
0,1,0,0,1,0,0,0,1,0,0.169313725490196,0.830686274509804,0.0916666666666667,0.908333333333333
0,1,0,0,1,0,0,0,1,0,0,1,0,1
0.967352941176471,0.0326470588235294,0.513921568627451,0.484705882352941,0.00137254901960784,0.513921568627451,0.321960784313725,0.162745098039216,0.00137254901960784,0.835882352941177,0.164117647058824,0,1,0
0.967352941176471,0.0326470588235294,0.510490196078431,0.488529411764706,0.000980392156862745,0.510490196078431,0.326176470588235,0.162352941176471,0.000980392156862745,0.836666666666667,0.163333333333333,0,1,0
0.970098039215686,0.0299019607843137,0.506078431372549,0.492254901960784,0.00166666666666667,0.506078431372549,0.323725490196078,0.168529411764706,0.00166666666666667,0.829803921568627,0.170196078431373,0,1,0
0.969313725490196,0.0306862745098039,0.50656862745098,0.492352941176471,0.00107843137254902,0.50656862745098,0.326764705882353,0.165588235294118,0.00107843137254902,0.833333333333333,0.166666666666667,0,1,0
0.91656862745098,0.0834313725490196,0,1,0,0,0,1,0,0,1,0,1,0
1,0,1,0,0,1,0,0,0,1,0,0,1,0
0.975588235294118,0.0244117647058824,0.516372549019608,0.482450980392157,0.00117647058823529,0.516372549019608,0.321764705882353,0.160686274509804,0.00117647058823529,0.838137254901961,0.161862745098039,0,1,0
0.910196078431373,0.0898039215686274,0,1,0,0,0,1,0,0,1,0,1,0
0.971372549019608,0.0286274509803922,0.509019607843137,0.489411764705882,0.00156862745098039,0.509019607843137,0.324019607843137,0.165392156862745,0.00156862745098039,0.833039215686274,0.166960784313725,0,1,0
