fish_index,fish_id,quantity,mean,sd,rhat,rhat_upper_95,ess,mcse,mcse_over_sd,chain_1_mean,chain_2_mean,chain_3_mean,chain_mean_range,constant
31,61860,Moses,0.476372549019608,0.49946591578491,1.00000873208881,1.0004265464108,9838.10285866869,0.00505248794942592,0.0101157812570372,0.467647058823529,0.481764705882353,0.479705882352941,0.0141176470588235,FALSE
31,61860,Butters,0.0145098039215686,0.119585415240938,1.00170538813859,1.00199391695177,9496.92853825588,0.00123020228238348,0.0102872267483864,0.0132352941176471,0.0161764705882353,0.0141176470588235,0.00294117647058824,FALSE
31,61860,Neither,0.509117647058824,0.499941369130666,1.00006443545548,1.00063254881007,9361.08544102717,0.00522028755418733,0.0104417995319426,0.519117647058824,0.502058823529412,0.506176470588235,0.0170588235294118,FALSE
32,61861,Moses,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
32,61861,Butters,0.829607843137255,0.375995385336506,0.999905141445755,0.999984485919904,10313.07805066,0.00370405006765203,0.00985131789406671,0.830588235294118,0.831470588235294,0.826764705882353,0.00470588235294112,FALSE
32,61861,Neither,0.170392156862745,0.375995385336506,0.999905141445755,0.999984485919904,10313.07805066,0.00370405006765203,0.00985131789406671,0.169411764705882,0.168529411764706,0.173235294117647,0.0047058823529412,FALSE
33,61870,Moses,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
33,61870,Butters,0.830686274509804,0.375047167812226,1.00018789468208,1.00069568095554,9758.39234882362,0.00380025959456051,0.0101327510796273,0.837941176470588,0.826470588235294,0.827647058823529,0.0114705882352941,FALSE
33,61870,Neither,0.169313725490196,0.375047167812226,1.00018789468208,1.00069568095554,9758.39234882362,0.00380025959456051,0.0101327510796273,0.162058823529412,0.173529411764706,0.172352941176471,0.0114705882352941,FALSE
34,61898,Moses,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
34,61898,Butters,1,0,NA,NA,NA,0,0,1,1,1,0,TRUE
34,61898,Neither,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
35,61899,Moses,0.513921568627451,0.499830654453266,0.999886735604883,0.999977555024542,9321.89627160747,0.00517845695495624,0.0103604228928709,0.512647058823529,0.517941176470588,0.511176470588235,0.00676470588235289,FALSE
35,61899,Butters,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
35,61899,Neither,0.486078431372549,0.499830654453266,0.999886735604883,0.999977555024542,9321.89627160747,0.00517845695495624,0.0103604228928709,0.487352941176471,0.482058823529412,0.488823529411765,0.00676470588235295,FALSE
36,61900,Moses,0.510490196078431,0.499914449884787,0.999952293127852,1.00021925952998,9533.43715153391,0.00512692464245816,0.0102556040211275,0.505,0.517058823529412,0.509411764705882,0.0120588235294118,FALSE
36,61900,Butters,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
