parameter,saved_rhat,saved_ess,constant,scientific_monitor,coda_rhat,coda_ess
Z4_ab[25],1.0010943285363425,8200,FALSE,TRUE,1.00061127110217,10663.6324606576
Z4_ab[26],1.001033292470625,10000,FALSE,TRUE,1.0001839709321,10200.0000000004
Z4_ab[27],1.001232550389996,5300,FALSE,TRUE,1.00054518214602,10397.5964149141
Z4_ab[28],1,1,TRUE,TRUE,NA,NA
Z4_ab[29],1.001069561010052,9200,FALSE,TRUE,1.00019272258165,10746.521273848
Z4_ab[30],1.0009365372606194,10000,FALSE,TRUE,0.999982209801297,10798.6549561391
Z4_ab[31],1.0009803214223738,10000,FALSE,TRUE,1.00005228958526,10199.9999999999
Z4_ab[32],1.0008808214103777,10000,FALSE,TRUE,0.999905141445755,10313.07805066
Z4_ab[33],1.0010402176391877,10000,FALSE,TRUE,1.00018789468208,9758.39234882362
Z4_ab[34],1,1,TRUE,TRUE,NA,NA
Z4_ab[35],1.0010646269793773,9400,FALSE,TRUE,1.00024123416441,10271.8394039233
Z4_ab[36],1.0009806804126407,10000,FALSE,TRUE,1.00008941806468,10135.743327712
Z4_ab[37],1.0011596229976218,6500,FALSE,TRUE,1.00039737130154,10948.5009474749
Z4_ab[38],1.0015099174146052,3000,FALSE,TRUE,1.00103959480637,10706.4931023339
Z4_ab[39],1,1,TRUE,TRUE,NA,NA
Z4_ab[40],1,1,TRUE,TRUE,NA,NA
Z4_ab[41],1.0013714747425848,3900,FALSE,TRUE,1.0008125978785,10087.5442596374
Z4_ab[42],1,1,TRUE,TRUE,NA,NA
Z4_ab[43],1.0016036740499494,2700,FALSE,TRUE,1.00119982756364,10200.0000000002
Z4_ab[44],1,1,TRUE,TRUE,NA,NA
Z4_ab[45],1,1,TRUE,TRUE,NA,NA
Z4_b[1],1.0010079530911504,10000,FALSE,TRUE,1.00005194391168,9643.9979215521
Z4_b[2],1.000860964142553,10000,FALSE,TRUE,0.999884112812478,10391.4231271915
Z4_b[3],1,1,TRUE,TRUE,NA,NA
Z4_b[4],1,1,TRUE,TRUE,NA,NA
Z4_b[5],1.0011515343907709,6700,FALSE,TRUE,1.0003952271612,10200.0000000002
Z4_b[6],1,1,TRUE,TRUE,NA,NA
Z4_b[7],1,1,TRUE,TRUE,NA,NA
Z4_b[8],1,1,TRUE,TRUE,NA,NA
Z4_b[9],1.0010113185660154,10000,FALSE,TRUE,1.00035935064213,9674.78921114563
Z4_b[10],1,1,TRUE,TRUE,NA,NA
Z4_b[11],1.009680392018617,3800,FALSE,TRUE,1.00968039201862,9010.92286536674
Z4_b[12],1,1,TRUE,TRUE,NA,NA
Z4_b[13],1,1,TRUE,TRUE,NA,NA
Z4_b[14],1,1,TRUE,TRUE,NA,NA
Z4_b[15],1,1,TRUE,TRUE,NA,NA
Z4_b[16],1.0010670002491229,9300,FALSE,TRUE,1.00054571877491,9938.16681718424
Z4_b[17],1,1,TRUE,TRUE,NA,NA
Z4_b[18],1,1,TRUE,TRUE,NA,NA
Z4_b[19],1,1,TRUE,TRUE,NA,NA
Z4_b[20],1,1,TRUE,TRUE,NA,NA
Z4_b[21],1,1,TRUE,TRUE,NA,NA
Z4_b[22],1,1,TRUE,TRUE,NA,NA
Z4_b[23],1,1,TRUE,TRUE,NA,NA
Z4_b[24],1,1,TRUE,TRUE,NA,NA
Z4_b[25],1.0010943285363425,8200,FALSE,TRUE,1.00061127110217,10663.6324606576
Z4_b[26],1,1,TRUE,TRUE,NA,NA
Z4_b[27],1,1,TRUE,TRUE,NA,NA
Z4_b[28],1,1,TRUE,TRUE,NA,NA
Z4_b[29],1.0069164795700913,5200,FALSE,TRUE,1.00691647957009,9709.43693400077
Z4_b[30],1.0020878158092683,10000,FALSE,TRUE,1.00208781580927,8712.10412474306
Z4_b[31],1.0017053881385871,10000,FALSE,TRUE,1.00170538813859,9496.92853825588
Z4_b[32],1.0008808214103777,10000,FALSE,TRUE,0.999905141445755,10313.07805066
