fish_id,location_id,first_detection_datetime,last_detection_datetime,detection_count,detected
61844,Rx1,2022-05-27T02:29:18-0400,2022-05-27T02:30:36-0400,3,1
61844,R1a,NA,NA,0,0
61844,R1b,NA,NA,0,0
61844,R2a,NA,NA,0,0
61844,Rx2b,NA,NA,0,0
61844,Rx2a,NA,NA,0,0
61844,R2b,NA,NA,0,0
61844,R3a,2022-05-27T21:43:51-0400,2022-05-27T21:43:51-0400,1,1
61844,R3b,NA,NA,0,0
61844,HoT,2022-05-31T18:04:50-0400,2022-05-31T18:10:02-0400,19,1
61844,Inner_Bay,2022-06-02T13:15:42-0400,2022-06-02T13:24:41-0400,9,1
61844,Outer_Bay,2022-06-10T21:49:20-0400,2022-06-10T22:05:32-0400,13,1
61844,all_SoBI,NA,NA,0,0
61845,RP1,2022-05-25T03:00:47-0400,2022-05-25T03:00:47-0400,1,1
61845,all_MM,2022-05-25T23:23:54-0400,2022-05-25T23:29:10-0400,9,1
61845,Rx1,2022-05-26T01:31:06-0400,2022-05-26T01:33:11-0400,4,1
61845,R1a,NA,NA,0,0
61845,R1b,2022-05-26T01:48:03-0400,2022-05-26T01:54:05-0400,8,1
61845,R2a,NA,NA,0,0
61845,Rx2b,2022-05-26T04:46:03-0400,2022-05-26T16:06:04-0400,127,1
61845,Rx2a,NA,NA,0,0
61845,R2b,NA,NA,0,0
61845,R3a,NA,NA,0,0
61845,R3b,2022-05-26T20:00:32-0400,2022-05-26T20:01:13-0400,2,1
61845,HoT,2022-05-27T05:43:02-0400,2022-05-27T05:46:13-0400,23,1
61845,Inner_Bay,2022-05-28T10:54:10-0400,2022-05-28T12:57:33-0400,113,1
61845,Outer_Bay,2022-05-30T11:54:54-0400,2022-05-30T12:05:46-0400,14,1
61845,all_SoBI,2022-07-05T11:46:35-0400,2022-07-05T12:28:31-0400,6,1
61846,RP1,NA,NA,0,0
61846,all_MM,2022-05-28T06:35:52-0400,2022-05-28T06:36:31-0400,2,1
61846,Rx1,2022-05-28T07:43:51-0400,2022-05-28T07:43:51-0400,1,1
61846,R1a,NA,NA,0,0
61846,R1b,2022-05-28T08:01:55-0400,2022-05-28T08:01:55-0400,1,1
61846,R2a,NA,NA,0,0
61846,Rx2b,2022-05-28T08:34:10-0400,2022-05-28T08:36:34-0400,4,1
61846,Rx2a,NA,NA,0,0
61846,R2b,2022-05-28T08:45:48-0400,2022-05-28T08:45:48-0400,1,1
61846,R3a,NA,NA,0,0
61846,R3b,NA,NA,0,0
61846,HoT,2022-05-29T01:11:31-0400,2022-05-29T04:11:23-0400,639,1
61846,Inner_Bay,2022-05-30T15:44:22-0400,2022-05-30T15:46:01-0400,2,1
61846,Outer_Bay,2022-06-01T12:53:19-0400,2022-06-01T12:53:19-0400,1,1
61846,all_SoBI,2022-06-29T16:00:09-0400,2022-06-29T16:11:40-0400,7,1
61847,RP1,2022-05-26T03:21:15-0400,2022-05-26T03:21:15-0400,1,1
61847,all_MM,2022-05-28T04:18:44-0400,2022-05-28T04:19:35-0400,2,1
61847,Rx1,NA,NA,0,0
61847,R1a,NA,NA,0,0
61847,R1b,2022-05-28T08:54:47-0400,2022-05-28T08:55:22-0400,2,1
61847,R2a,NA,NA,0,0
61847,Rx2b,2022-05-28T09:38:33-0400,2022-05-28T09:40:41-0400,3,1
61847,Rx2a,NA,NA,0,0
61847,R2b,2022-05-28T10:30:27-0400,2022-05-28T10:30:27-0400,1,1
61847,R3a,NA,NA,0,0
61847,R3b,NA,NA,0,0
61847,HoT,2022-05-28T23:27:25-0400,2022-05-29T02:26:41-0400,611,1
61847,Inner_Bay,NA,NA,0,0
61847,Outer_Bay,2022-06-01T22:45:31-0400,2022-06-06T15:13:52-0400,154,1
61847,all_SoBI,2022-07-04T14:25:31-0400,2022-07-04T14:25:31-0400,1,1
61848,RP1,NA,NA,0,0
61848,all_MM,2022-05-28T03:45:34-0400,2022-05-28T03:48:01-0400,6,1
61848,Rx1,NA,NA,0,0
61848,R1a,NA,NA,0,0
61848,R1b,NA,NA,0,0
61848,R2a,NA,NA,0,0
61848,Rx2b,NA,NA,0,0
61848,Rx2a,NA,NA,0,0
61848,R2b,NA,NA,0,0
61848,R3a,2022-05-28T10:31:04-0400,2022-05-28T10:31:04-0400,1,1
61848,R3b,NA,NA,0,0
61848,HoT,2022-05-28T16:18:49-0400,2022-05-28T16:20:31-0400,10,1
61848,Inner_Bay,2022-05-29T16:35:03-0400,2022-05-29T16:35:45-0400,2,1
61848,Outer_Bay,2022-06-06T23:24:17-0400,2022-06-06T23:43:41-0400,27,1
61848,all_SoBI,NA,NA,0,0
61849,RP1,2022-05-27T22:05:38-0400,2022-05-27T22:05:38-0400,1,1
61849,all_MM,2022-05-28T04:02:56-0400,2022-05-28T04:04:35-0400,6,1
61849,Rx1,2022-05-28T05:40:32-0400,2022-05-28T05:40:32-0400,1,1
61849,R1a,NA,NA,0,0
61849,R1b,2022-05-28T05:58:52-0400,2022-05-28T06:01:44-0400,5,1
61849,R2a,NA,NA,0,0
61849,Rx2b,2022-05-28T06:34:18-0400,2022-05-28T06:39:59-0400,8,1
61849,Rx2a,NA,NA,0,0
61849,R2b,2022-05-28T06:45:41-0400,2022-05-28T06:46:27-0400,2,1
61849,R3a,NA,NA,0,0
61849,R3b,2022-05-28T06:54:41-0400,2022-05-28T06:56:06-0400,3,1
61849,HoT,2022-05-28T18:19:31-0400,2022-05-28T18:24:44-0400,11,1
61849,Inner_Bay,2022-05-30T04:19:07-0400,2022-05-30T04:33:31-0400,16,1
61849,Outer_Bay,NA,NA,0,0
61849,all_SoBI,2022-07-06T08:18:55-0400,2022-07-06T09:01:12-0400,15,1
61850,RP1,NA,NA,0,0
61850,all_MM,2022-05-28T04:42:01-0400,2022-05-28T04:42:01-0400,1,1
61850,Rx1,2022-05-28T05:48:36-0400,2022-05-28T05:48:36-0400,1,1
61850,R1a,NA,NA,0,0
61850,R1b,NA,NA,0,0
61850,R2a,NA,NA,0,0
61850,Rx2b,NA,NA,0,0
61850,Rx2a,NA,NA,0,0
61850,R2b,NA,NA,0,0
61850,R3a,2022-05-28T06:57:44-0400,2022-05-28T06:57:44-0400,1,1
61850,R3b,NA,NA,0,0
61850,HoT,2022-05-28T19:46:16-0400,2022-05-28T19:50:32-0400,9,1
